(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
מודיעין-מכבים-רעות*,1200,212,212,4030,,,1,יהודים,90.7,,,40.9,49.3,9.8,1028.6,32,31,33,29.1,86,85.5,14.5,12.4,8,54.8,9.6,11.1,21,3.6,ישראל,26,27,24,1.9,4.6,25.4,37.7,79.5,88.6,11,41.3,23.3,64.7,173100,38.4,91400,21.3,1210,3.3,22.6,18.9,חילוני,1,2,8.4,54.7,96.2,79.8,18.5
מודיעין-מכבים-רעות*,1200,213,213,3700,,,1,יהודים,107.4,,,44.8,50.9,4.4,966.2,27,21,32,40.9,78.2,87.9,12.1,19.8,10.4,60.7,7.5,10,18.2,3.5,ישראל,27,28,26,2,2.7,28.3,40.9,84.6,89.2,10.8,42,21,64.2,157500,36,80300,21.8,1080,3.4,34.6,16.2,חילוני,1,2,5.1,58.5,99,67.8,27.5
מודיעין-מכבים-רעות*,1200,214,214,7530,,,1,יהודים,100.6,,,36.2,53.8,10,858.8,32,30,34,28.8,79.7,82.8,17.2,22.1,12.3,53,8.9,9.5,22.7,6,ישראל,26,27,25,1.8,5.9,27.8,40.4,77.1,84.5,15.4,43.6,24.5,57.3,150100,34.1,127700,34,2420,3.1,20.6,22.7,חילוני,1,2,8.1,46.5,98.8,64.5,31.8
מודיעין-מכבים-רעות*,1200,221,221,4010,,,1,יהודים,93.8,,,37.9,52,10.1,922.5,32,28,35,29.9,76.8,83.1,16.9,23.7,13.5,54,8.3,8.6,23.2,5.8,ישראל,26,27,25,2,4.4,20.2,41.6,77.1,88.2,11.8,42.8,22.4,62.4,155400,34.9,107000,31.6,1270,3.2,23.3,24.8,חילוני,1,2.1,11.7,45.9,98.5,64.1,31.1
מודיעין-מכבים-רעות*,1200,222,222,4560,,,1,יהודים,102.9,,,34.4,56,9.6,786.4,31,28,35,15.4,85.7,81.4,18.6,39.4,24.3,50.2,8.8,11.6,20.6,8.9,ישראל,26,27,24,1.9,4.6,20.9,38.7,70.3,86.7,13.3,39.9,18.3,59.5,150900,38.9,108300,31.9,1440,3.2,11,35.9,חילוני,1,2.4,4.3,55.6,97.5,75.2,20.5
מודיעין-מכבים-רעות*,1200,223,223,2320,,,1,יהודים,109.6,,,43.8,46.6,9.6,1148.1,26,22,34,32.3,83.7,81.3,18.7,39.6,28,52.2,6.6,10.2,21,10,ישראל,25,26,24,2.1,3,23.2,48.6,72.4,90.3,9.7,41.9,16.6,62.6,175500,44.6,139200,37.9,670,3.5,22.1,26.6,חילוני,1,2.2,4.3,48.6,99,77.3,18.5
מודיעין-מכבים-רעות*,1200,224,224,3520,,,1,יהודים,95.4,,,45.1,48.2,6.7,1075.1,23,23,24,32.6,92.6,82.5,17.5,47.1,31.2,54.8,6.6,9.1,18.5,11,ישראל,26,27,25,2,3.6,16.3,43.9,75.5,89,11,43,26.1,61.2,187400,44,130100,40,930,3.8,28.9,28.2,חילוני,1,2.4,4.6,57.8,98.2,76.1,18
מודיעין-מכבים-רעות*,1200,225,225,4530,,,1,יהודים,90.4,,,43.9,47.9,8.2,1086.2,25,26,24,22,87.1,81.6,18.4,41.6,28.4,50.9,7.8,9.8,21.3,10.2,ישראל,26,27,24,2,3.7,28.9,43.3,76.5,90.8,9.2,41.9,27,61,191700,45.3,146600,37.6,1230,3.7,19.5,30.5,חילוני,1,2.4,5.8,56.4,99.1,79.3,17.7
מודיעין-מכבים-רעות*,1200,311,311,5330,,,1,יהודים,106,,,39.6,56,4.4,785.6,24,23,25,7.2,94.6,82.1,17.9,44.5,20.5,52.7,6.3,7.5,19.2,14.3,ישראל,26,27,25,2,2.1,20.7,48.7,76.2,87.1,12.6,42,20.5,63.1,214800,50.4,131100,35.5,1350,3.9,10.8,49.2,חילוני,1,3.1,5,77.5,95.9,87.1,10.3
מודיעין-מכבים-רעות*,1200,312,312,3530,,,1,יהודים,90.4,,,42,52,6,922.3,23,23,22,8.4,93.8,75.7,24.3,60.3,38.7,46.7,5.5,8.7,19.2,20,ישראל,25,26,24,2,2.8,19.5,47,71.6,84.2,15.4,42.6,13.3,62,259000,56.1,118100,40.6,880,4,13.1,42.7,דתי/ דתי מאוד,3,3.1,4.2,74,95,83.2,16.1
מודיעין-מכבים-רעות*,1200,313,313,4860,,,1,יהודים,101.2,,,45.5,46.2,8.3,1165.6,23,21,27,12.7,93.3,82.6,17.4,49.4,32.1,53.1,8.1,9.7,17.6,11.4,ישראל,26,27,25,2.2,3.7,19.5,47.3,74.5,87.7,11.9,42.3,17.9,66.2,220400,51.6,93300,29.8,1250,3.9,19.3,28.3,חילוני,1,2.7,3.1,71.6,99,84.1,13.5
מודיעין-מכבים-רעות*,1200,321,321,2440,,,1,יהודים,107.1,,,23,57.3,19.7,746,48,45,50,6.8,93.3,86,14,16.8,8.1,47.9,10.2,9.9,25.2,6.9,ישראל,25,25,23,2.3,2.6,5.2,55.5,69.5,82.9,17.1,44.6,12.1,62.5,240700,53.6,98800,16.7,810,3,5.3,26.1,חילוני,1,2.8,2.6,81,98.6,86.6,6.2
מודיעין-מכבים-רעות*,1200,322,322,2680,,,1,יהודים,98.9,,,21.2,61.8,17,618.2,49,47,50,9.1,87.1,87.5,12.5,19.6,7,47.8,10.6,11.7,25.2,4.6,ישראל,25,27,24,2.2,3,5.1,58.9,75.6,80,20,41.1,20.2,60.7,235100,52.9,109700,34.8,960,2.8,4.1,33.9,חילוני,1,2.7,1.5,79.8,94.3,84.7,9
מודיעין-מכבים-רעות*,1200,323,323,2430,,,1,יהודים,106,,,21,53.7,25.3,861.5,50,48,51,16.2,87.9,86.2,13.8,11.2,5.9,46.9,8.8,7.9,31.4,5,ישראל,25,27,24,2.4,2.3,5.6,62,69.8,74.3,25.7,40.4,27.9,56.9,217700,51,116500,33,870,2.8,10,19.3,חילוני,1,2.7,1.7,69.8,94,80.4,11.2
מודיעין-מכבים-רעות*,1200,331,331,3150,,,1,יהודים,104.8,,,44,50.8,5.2,968.5,25,23,27,41.3,76.6,89,11,37,23.9,61.9,8,10.4,13.4,6.2,ישראל,26,27,25,2.2,3,22.1,46.1,81.1,86.1,13.9,42.5,16.8,65.2,180000,44.6,101600,30.2,880,3.6,33.3,20.2,חילוני,1,2.1,6.3,61.9,100,70.9,23.2
מודיעין-מכבים-רעות*,1200,332,332+334+335,4980,,,1,יהודים,100.2,,,44.9,51.7,3.3,933.4,26,23,28,53,83.1,88.8,11.2,34.8,22.9,62.4,6.7,9.6,14.6,6.7,ישראל,26,27,25,2.1,4.5,32.2,49.1,87,88.7,11,43.2,25.5,68,190000,44.6,108300,26,1330,3.7,43.8,19.8,חילוני,1,2,4.6,67.8,99.8,65.1,33.6
מולדת,269,,,1210,38.8,2514.6,1,יהודים,100.7,,1.9,36.8,52.6,10.5,900.7,31,29,32,10,86,92.9,7.1,32.8,19.8,66.6,5.8,6.2,15.9,5.5,ישראל,26,27,25,2.1,3.6,7.3,36,77.3,82.9,14.6,37.8,47.8,74.7,124400,30.1,109900,18.6,380,3.1,17.1,31.9,חילוני,1,1.7,8.8,56.3,88.9,68.6,24.3
מוצא עילית,208,,,1620,84.5,3777.6,1,יהודים,97.3,5.4,2.3,26.9,47.3,25.7,1112.2,41,37,45,25,65.6,82,18,11.5,8.2,52.3,9.6,8.4,24.6,5.1,ישראל,25,27,24,2.4,6.3,19.8,49.2,71.9,82.7,17.3,40.4,15.4,87.3,168700,42.1,73100,29.7,520,2.9,18.2,16.2,חילוני,1,2,6.3,62.6,87.4,68.4,24
מוקייבלה,635,,,4390,39.5,8606.2,2,מוסלמים,105.8,,0.1,43.1,52.6,4.3,901.4,23,22,26,41.3,84.9,,,,,,,,,,,23,26,21,2.5,11.7,70.5,10.8,52.3,87.6,11.4,39.3,3.7,72.3,72900,7,89600,17.2,1100,4,31.7,39.8,דתי/ דתי מאוד,3,0.9,20.8,32.3,66,63.4,8.6
מורן,1163,,,440,62.3,2599.8,1,יהודים,97,,1.6,33,55.2,11.8,811.1,33,32,34,23.6,78.6,87.6,12.4,8.1,4.7,59.1,6,7.6,22.3,5,ישראל,26,26,24,1.9,2,,46.9,76.8,89.7,10.3,39.8,43.4,64.9,95900,20.1,46600,9.3,150,2.9,19.8,15.6,חילוני,1,2,4.1,51.6,67.4,51.4,35.4
מורשת,1178,,,1600,50.7,4583.7,1,יהודים,92,,0.1,45.9,47.4,6.7,1108.8,22,24,20,31.4,96.2,91.3,8.7,27.8,19.3,61.7,3.8,12.2,14.3,7.9,ישראל,23,24,22,3,2.3,,53.5,74.7,92.4,7.6,40.3,15.7,84.4,151400,38.8,155500,37.7,400,4,25.6,35.1,דתי/ דתי מאוד,3,2.4,1.4,67.7,94.3,80.5,14.5
מזור,606,,,1160,-4.7,2080.1,1,יהודים,103.7,,3.3,30.5,55.5,14,801.8,37,35,38,6.8,84,88,12,15.2,7.6,56.7,5.4,6.6,26.9,4.4,ישראל,26,29,26,1.8,4,15.4,38.4,73.1,73.5,26.5,43.3,3.5,79.7,224600,51.7,107200,22.5,380,2.9,12.3,28.2,חילוני,1,2,2.5,69.9,89,57,27.8
מזכרת בתיה,28,,,15860,77.5,7274.3,1,יהודים,99.5,0.8,0.7,37.8,52.6,9.5,900.2,31,29,33,20.2,86.4,86.9,13.1,14.8,6.9,55.8,7.7,13.8,18.4,4.4,ישראל,26,27,25,2.1,3.8,17.3,41,76.6,89.6,10.4,41.1,25.9,79.9,172600,40.6,97300,29.7,4490,3.5,21.7,27.4,חילוני,1,2.2,6.4,64.8,85.2,75.6,18
מזכרת בתיה,28,1,1,3570,,,1,יהודים,102.9,,,26,55,19,817.7,40,36,43,15.3,81.3,81.4,18.6,12.8,5.8,48.8,7.9,13.3,24.8,5.2,ישראל,25,26,24,2,4.2,16.7,40.2,73.7,86.4,13.6,40.7,23.7,79.4,154700,38.7,72000,30.1,1150,3,12.3,28.2,חילוני,1,2.2,7.6,61.5,77.5,67,21.7
מזכרת בתיה,28,2,2,2220,,,1,יהודים,100.9,,,36.9,51.8,11.3,929.2,30,27,33,19.4,83,82.8,17.2,16.4,5.3,50.6,7.3,24.7,14,3.5,ישראל,26,28,24,1.8,4.9,14.9,30.9,72.5,93.4,6.6,40,24.5,75.2,132100,25.6,85100,16.2,670,3.3,20.3,30.6,חילוני,1,1.7,11,44.5,57,77.8,17.3
מזכרת בתיה,28,3,3,2340,,,1,יהודים,96.5,,,27.9,61,11.1,638.4,39,40,38,14.8,84.6,84.8,15.2,12.2,5.7,49.2,9.4,12.2,24.2,5,ישראל,25,27,25,2,4.5,8.4,42.3,78.2,88,12,38.5,41.7,77.6,169300,40.8,107100,29.2,760,3.1,10.5,26.7,חילוני,1,2.2,5,62.8,92.2,81.4,11.8
מזכרת בתיה,28,4,4,2750,,,1,יהודים,98.4,,,41.3,54.3,4.4,841.5,25,24,27,11.4,91.3,90.7,9.3,16.9,9.9,58.5,7.4,12,17.1,5.1,ישראל,26,26,24,2.1,3.7,35.2,42.1,74.2,89.8,10,40.9,20.9,79.3,222800,52.5,92100,24.4,690,4,16.6,39.2,חילוני,1,2.7,3.3,78.3,98.3,86.6,10.9
מזכרת בתיה,28,5,5,4970,,,1,יהודים,98.6,,,49.6,46.4,4.1,1156.2,20,19,22,40.9,88.1,91.7,8.3,17.7,9.4,64.6,7.1,10.9,13.9,3.6,ישראל,26,28,25,2.3,2.6,20.4,45.6,82.1,91.1,8.9,43.7,25,84.2,191500,42.9,124200,38.6,1220,4.1,40.7,18.7,חילוני,1,2.2,5.5,72.8,96.7,72.8,23
מזרע,104,,,980,56.3,1959.9,1,יהודים,87.7,16.8,0.9,35.4,36.7,27.8,1721.8,40,37,41,12,76.5,82,18,12,6.1,56.6,3,5.3,29.4,5.7,ישראל,27,28,26,2.4,8.5,24,38.9,70.8,79.5,10.6,39.2,57.8,58,109800,24.3,128100,12.2,300,2.7,23.6,18.7,חילוני,1,1.5,30.3,25.6,36.2,33,18.5
מזרעה,517,,,3770,10.8,5987.5,2,מוסלמים,118.2,,0.2,35.5,59.5,5,680.6,28,27,28,46.5,87,,,,,,,,,,,25,27,22,2.1,6.4,53.1,13.1,71.1,82.9,16.3,33.7,11.3,71.3,86500,7.4,67400,13.9,1080,3.5,32.9,33,מסורתי,2,0.9,13.7,32.8,69.9,76.7,3.2
מחולה,3599,,,700,95.9,2927.5,1,יהודים,98.5,4,1.7,53.6,35.5,10.9,1815.5,18,18,17,49.3,98.2,96.4,3.6,15,11.7,74.1,1.9,7.5,13.6,2.9,ישראל,23,24,23,3.1,2.5,12.6,37.3,76.2,84,16,35.6,17.1,68.2,113500,20,67700,12.6,150,4.3,46.5,27.8,דתי/ דתי מאוד,3,2,6.1,56,87.2,72.3,22.6
מחנה יתיר,1196,,,280,2737.3,9457.6,1,יהודים,96.3,,,70.6,28.6,0.8,2490.8,11,12,10,79.8,100,98.7,1.3,,,86,2.4,3,4.6,3.9,ישראל,23,24,22,4.4,1.8,,50.4,79.3,88.5,9.9,36.6,13.2,84.6,137900,19.4,80800,,40,6.7,77.8,7.4,דתי/ דתי מאוד,3,1.7,,74.5,73.7,16.4,80.9
מחניים,308,,,880,123.6,2385.5,1,יהודים,89.9,,1.9,36.8,49.1,14.2,1038,34,32,36,26.9,60.3,87.4,12.6,14.1,9.1,59.1,3.6,14.5,17.8,4.9,ישראל,26,28,24,2.1,6.4,14,39.4,74.5,82.2,11.5,37.4,41.8,67.8,108600,19.4,53200,3.7,320,2.7,20,11.2,חילוני,1,1.4,17.2,39,60.1,60.8,32.2
מחסיה,776,,,480,27.1,1979.2,1,יהודים,86.1,,,38.4,48.8,12.8,1050,28,31,25,57.3,81,87.8,12.2,1.9,1.9,56.7,14.8,24,3.4,1.1,ישראל,24,26,23,2.8,6.3,28.1,19.7,66.6,95.5,4.5,39.1,6.7,93.1,104400,14.2,201000,64.4,140,3.4,32.4,17.8,דתי/ דתי מאוד,3,1,9.8,31.3,85.8,62.7,18.9
מטולה,43,,,1870,14.7,1950.9,1,יהודים,107.8,,7.6,19.1,67.7,13.2,477.4,31,31,31,19,70.1,87,13,18.3,10.6,56.1,7.3,9.7,21.3,5.7,ישראל,25,26,23,1.5,9.9,38.8,29.1,78,87,12.7,32.9,47.4,67.8,68100,14.2,80400,12.5,820,2.1,10.2,18,חילוני,1,1.6,12,35.7,70.9,32.8,63.8
מטע,822,,,890,33.4,2468.4,1,יהודים,98.8,,1.1,37.4,54,8.7,852.9,30,28,31,31.3,70.2,90.5,9.5,17,9.5,61.3,4.5,16.5,11.3,6.5,ישראל,27,27,25,2,5.7,40.6,35.1,74.6,74.7,25.3,38.1,12.5,77.8,139800,22.9,74500,13.1,300,2.9,22.7,23.2,חילוני,1,1.6,15.1,47,74.6,48.5,43.8
מי עמי,1128,,,390,46,2170.6,1,יהודים,103.4,,5.4,36.5,50.2,13.3,993.3,36,30,40,4.1,74.9,92.7,7.3,17.8,14.3,68.3,4.3,3.9,17.4,6,ישראל,26,27,26,2,4.5,19.9,39.3,73.8,76.3,23.7,39.9,15.3,77.3,131800,26.9,102000,29.8,120,3,16.9,15.9,חילוני,1,2.1,11.5,62.5,84.1,68.6,22.4
מיטב,2054,,,560,18.7,1807.9,1,יהודים,99.4,,6.6,28,60.3,11.7,657.5,35,37,33,37.6,82.3,88.5,11.5,8.7,6.8,50.7,38.8,5.2,5.3,,ישראל,25,27,24,2.4,11.9,34.2,15.7,69,82.1,17.9,44.5,6.4,69.4,116100,24.6,72400,29.2,190,2.7,16.7,24.4,מסורתי,2,1.2,9.5,41.4,91.7,69.9,20.8
מייסר,649,,,1930,15.1,5374.8,2,מוסלמים,89,,,38.2,54.6,7.3,832.2,27,28,26,38.5,91.9,,,,,,,,,,,25,27,23,2.7,12.5,70.8,14.5,65.4,91.1,8.9,37.6,8.4,86.5,95100,10.4,60300,7.3,570,3.4,25.5,28.7,דתי/ דתי מאוד,3,1,15.7,42.1,73.1,76.2,6.4
מיצר,4019,,,330,173.4,3713.8,1,יהודים,100.9,,1.8,62.9,36.7,0.4,1722.2,18,18,18,15.4,70.9,94.3,5.7,52.1,19.9,78.1,3.1,3.9,6.3,8.6,ישראל,28,28,27,2.4,4.6,,44,91.9,80.2,18.9,37.8,35.8,60.7,110300,9.4,85200,15.5,70,3.8,55.1,,חילוני,1,1.5,2.7,58.6,68.5,18.4,60.8
מירב,1282,,,780,57.1,2905.8,1,יהודים,103.7,1.4,3.7,52.3,46.4,1.3,1156,18,18,18,37.3,94.4,95.8,4.2,3,3,77.5,2.6,6.6,7.6,5.7,ישראל,23,24,22,3.2,1.1,,44.7,83.6,85.1,9,41.4,30.2,57.8,129400,24.9,66900,25.7,150,5,37.9,36.3,דתי/ דתי מאוד,3,1.9,4.6,52.9,74.3,50.1,25
מירון,607,,,710,-28.8,1252.2,1,יהודים,89.6,15.4,1.5,48.1,41.1,10.8,1431.6,20,24,19,33.4,88.5,90.2,9.8,40.7,37.7,66.6,2.8,11.5,16.9,2.1,ישראל,22,24,21,4.2,6.6,8.6,13.8,57.2,59.3,40.7,29.6,4.2,33.1,77500,11.6,88500,10.5,170,3.6,21.2,30.8,חרדי,4,0.9,36.2,19.9,73,65.5,14.5
מישר,731,,,740,4.6,2059.8,1,יהודים,104.8,,3,37,48.3,14.7,1069.9,34,34,35,28.1,87.7,90.2,9.8,19,9.8,60.8,5.4,5.7,25.2,2.8,ישראל,27,28,26,2,4.1,3.6,54.6,77.4,78.5,19.4,43.6,13.9,76,164200,44.8,81300,40.1,210,3.4,27.3,12.3,חילוני,1,2.3,0.7,74.9,95.1,54.5,36.3
מיתר,1268,,,11210,84,3165.9,1,יהודים,99.9,,0.5,39.8,50.5,9.8,981.9,31,27,34,22.1,87.4,85.4,14.6,11.1,6.3,52.4,5.5,17.9,19.4,4.7,ישראל,25,27,24,2.3,3.5,16.4,46.5,74.8,88.6,11.3,42.8,11.8,82,196900,47.1,109300,33.8,3160,3.5,22.2,25,חילוני,1,2.2,5,65.5,92.9,81.1,16.1
מיתר,1268,1,1,1720,,,1,יהודים,94.6,,,46.3,50.1,3.6,996.1,22,22,21,18.6,92.3,93,7,12.4,9.9,61.5,4.3,18.9,13.5,1.7,ישראל,25,26,25,1.9,3.2,14.5,44.2,76.3,89.8,10.2,42.1,7.4,81.3,182500,46.7,141500,35.7,440,3.9,22.4,33.9,חילוני,1,2.4,4.7,71.9,93.6,88,5.5
מיתר,1268,2,2+4,3640,,,1,יהודים,95.7,,,31.6,48.4,19.9,1064.2,41,40,41,18.9,81,78.2,21.8,12.2,7.4,44,6.3,17.9,24.7,7,ישראל,25,26,24,2.3,5.1,15.3,49.4,67.5,85.6,14.2,43.3,12.6,85.9,195300,47,108700,38.3,1190,3,14.1,21,חילוני,1,2.1,5.2,58.9,91.1,80.5,17.9
מיתר,1268,3,3,3440,,,1,יהודים,106.4,,,35.5,56.4,8,772.4,33,26,38,15.2,88.8,84.9,15.1,7.3,3,49,6.7,19.5,20.1,4.6,ישראל,25,26,24,2.3,2.9,16.8,39.1,76.3,90.6,9.4,41.4,12.4,77.4,201500,47.4,114500,30.9,980,3.5,10.9,33.3,חילוני,1,2.3,6.6,62.9,92.6,84.1,11.9
מיתר,1268,5,5,2400,,,1,יהודים,101.5,,,53.5,45.2,1.3,1212.2,16,15,17,52.4,91.6,91.3,8.7,15.8,8.2,63.3,3.3,15.1,14.7,3.6,ישראל,27,28,26,2.5,2,49.8,58.4,87.8,89.1,10.9,45.1,15.7,84.4,200200,47.4,105000,28.1,550,4.4,59.1,12.1,חילוני,1,2.2,1.7,79.5,97.5,71,28.5
מכורה,3614,,,240,96.6,2441.5,1,יהודים,116.1,,3.7,41.8,47.2,11,1120.3,27,25,33,29,76.8,82.6,17.4,22.1,15.2,50.9,4.6,4.3,31.4,8.8,ישראל,24,25,24,2.3,8.4,14.2,19.1,81.7,83.4,16.6,45.9,,79,113300,13.7,133700,23.2,80,3,22.9,20.5,חילוני,1,1.6,2.8,47.2,86.8,64.8,25.7
מכחול,1343,,,1810,,4646.1,2,מוסלמים,102.6,,,60.1,37.9,2,1635.1,15,16,15,53.9,78.4,,,,,,,,,,,22,24,20,3.5,6.1,45.1,4.5,34.8,91.9,0.8,33.5,2.4,81.5,79300,4,98300,,380,4.8,50.6,36,מסורתי,2,0.3,56.4,13.4,60.4,96.7,
מכמורת,382,,,1300,2.8,2330.1,1,יהודים,92.3,,1.5,31.2,53.7,15.1,862.3,37,38,37,11.9,79.5,86.5,13.5,26.6,15.8,54.8,5.8,10.3,22.4,6.8,ישראל,26,28,25,1.7,3.6,10.8,47.4,70.2,70.2,29.4,40.8,19.2,67.3,112500,35.5,70600,8.3,520,2.5,14.9,13.8,חילוני,1,1.7,15.9,50.2,77.2,41.4,39.7
מכמנים,1202,,,500,53,2404.7,1,יהודים,86.4,,0.4,37.3,51.6,11.1,938.2,34,36,30,22.3,78.8,81.7,18.3,16.2,7.2,49.8,5.5,7.8,28.6,8.3,ישראל,27,28,26,2,3.4,13.3,46.2,78.8,77.6,22.4,40.8,24.1,77.3,144000,30.7,100900,26.3,150,3.3,28.2,18.6,חילוני,1,2.2,7,62.7,93.3,73.6,22.3
מלאה,164,,,390,11.7,1684.2,1,יהודים,142.1,,8.8,28,56.3,15.7,777.1,36,34,39,32.5,80.1,80.4,19.6,2.1,2.1,47.2,3.2,38.4,11.1,,ישראל,26,27,24,2.7,14.8,63.8,15.6,64.6,81.9,18.1,41.7,29.2,67.3,119900,20.5,54600,10.7,120,3,20.4,13.5,מסורתי,2,1,20.5,43.4,91.2,62.8,14.1
מלילות,2044,,,540,84.8,1804.3,1,יהודים,139.7,,19.4,27.1,59.8,13,671.1,33,33,33,32.6,80.3,86,14,4.4,4.4,56.7,29.1,11.7,1.7,0.8,ישראל,23,25,21,2.6,11.6,49.1,9.8,76.2,87.5,12.5,37.6,27.7,74.3,110200,7.8,219800,57.2,150,3,21.7,14.5,מסורתי,2,0.7,25.5,36,71,60.4,21.6
מלכייה,596,,,470,7.9,1197.1,1,יהודים,103.4,,4.9,27.2,51.3,21.5,948.9,41,37,45,14.8,69.9,77.5,22.5,27.7,13.9,46.9,8,4.8,32.1,8.1,ישראל,25,26,24,2.3,5.9,18.1,25.8,69.7,81.3,14.9,38.3,68.4,48.2,87300,23.4,72700,,200,2.3,10.7,14,חילוני,1,1.4,23.4,29.3,53.3,60.3,25.2
מנוחה,2030,,,790,70,2400,1,יהודים,108.4,,7.3,33.4,58.6,8,706.5,30,29,31,50.1,68.4,92.9,7.1,14.7,4.9,62.5,24.9,9.4,1.9,1.4,ישראל,26,27,24,2.3,12.1,49.4,16.7,74.9,85.2,14.4,39.3,10.3,81.3,106400,21.8,146000,27.9,230,3.2,31.4,21.7,דתי/ דתי מאוד,3,1,11.1,46.5,95.3,43.1,42
מנוף,1174,,,850,30.2,2662.1,1,יהודים,99.5,,0.4,38.3,52,9.7,922,32,29,35,8.2,91.1,84.6,15.4,5.5,3.9,57.9,4.7,14.5,17.2,5.7,ישראל,26,27,25,2.1,1.3,10.6,54.7,81.4,82.5,17.5,41.1,22.7,71.2,206400,48.7,94800,22.9,240,3.5,18.6,30,חילוני,1,2.3,8.1,72.5,95.7,90.6,7.5
מנות,1205,,,510,67,2143.6,1,יהודים,114.5,,0.2,36.9,54.7,8.3,826.7,30,28,32,22.8,90.2,91.5,8.5,4.5,,57.1,9.6,20.9,11,1.4,ישראל,25,26,23,2.2,8.1,27.2,27.3,80.3,76,24,40.8,9.6,62,154900,25.2,108800,32.6,160,3.2,25.9,29,מסורתי,2,1.5,11.2,55.8,90.3,71,17.1
מנחמיה,48,,,1180,14.9,2365.8,1,יהודים,102,,3.5,27.6,54.4,18,836.8,36,33,40,23.6,75.5,81.9,18.1,12.4,8.7,46.2,4.2,30.6,14.2,4.8,ישראל,23,25,23,2.4,10.4,24.2,16.6,68.2,84.4,13.9,39.2,43.3,69.3,95300,13.8,70300,12.9,450,2.6,14.1,15,מסורתי,2,1.1,18.5,33.5,66.2,61,30.7
מנרה,347,,,290,24.4,2638.4,1,יהודים,125.2,,5.5,25.8,58.5,15.7,710.2,34,35,33,22.2,75.2,74.3,25.7,34.3,30,49.4,3.3,8,34.5,4.9,ישראל,27,28,25,1.6,6.7,12.1,28.9,71.1,79.7,17.8,38.8,100,62.5,91000,10.1,73900,,130,2.1,19.3,3.6,חילוני,1,1.3,14.4,28.3,55.8,20.5,54.9
מנשית זבדה,994,,,1420,41.8,4057,2,מוסלמים,96.8,,0.4,39.4,56,4.7,786.4,26,26,27,44.9,69.4,,,,,,,,,,,23,25,21,2.7,9.4,79.6,6.8,63.7,92.2,7.8,39.4,12.2,66.3,82900,7.1,136300,24.9,400,3.5,32.8,22.9,מסורתי,2,0.7,17.8,26.7,71.8,58.4,3.6
מסד,1258,,,350,4.3,2677.2,1,יהודים,97.8,,0.3,34.3,57.3,8.4,745.6,34,36,33,24.4,73.3,87.6,12.4,23.7,20.7,57.5,4.3,11.8,18.9,7.5,ישראל,27,28,26,2.2,2.5,8.8,41.4,84,85.8,13.3,40.4,15.4,73.5,132500,27.9,51900,26.8,100,3.4,33,26.2,חילוני,1,2.2,,68.1,83.4,80.7,11.1
מסדה,263,,,330,-4.5,1726.3,1,יהודים,107.1,,1.5,25.9,59.7,14.4,674.9,33,29,35,20.9,53.9,86.2,13.8,26.4,6,57,5.4,5.8,25.1,6.7,ישראל,27,28,25,1.7,6.9,26.3,25,79.7,83.9,16.1,34.2,73.7,69.7,82900,8.3,14400,10,160,2,14.8,18.5,חילוני,1,1.3,18.6,15.9,51.2,44,52.1
