(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון)","אחוז שכירים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כשכיר על פי הגדרת המשיב בשאלון )","הכנסה חציונית שנתית מעבודה של עצמאים
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)","אחוז עצמאים בני 15 ומעלה, לפי עשירוני הכנסה מעבודה 10-9
(עבודה עיקרית כעצמאי על פי הגדרת המשיב בשאלון)",סך הכל משקי בית,ממוצע נפשות במשק הבית,אחוז משקי הבית שבהם בני 5-0,אחוז משקי הבית שבהם בני 25-18,סמל אורח חיים עיקרי למשק בית,שם אורח חיים עיקרי למשק בית,ממוצע מחשבים במשק הבית ,אחוז משקי הבית שלא עומד לרשותם כלי רכב,אחוז משקי הבית שעומדים לרשותם שני כלי רכב ויותר,אחוז משקי הבית שעומדת לרשותם חנייה,אחוז משקי הבית הגרים בדירה בבעלות,אחוז משקי הבית הגרים בדירה בשכירות
LocNameHeb,LocalityCode,StatArea,StatAreaCmb,pop_approx,change_pcnt,pop_density,religion,ReligionHeb,sexRatio,inst_pcnt,Foreign_pcnt,age0_19_pcnt,age20_64_pcnt,age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married18_34_pcnt,married45_54_pcnt,j_isr_pcnt,j_abr_pcnt,aliya2002_pcnt,aliya2010_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,shem_eretz1,MarriageAge_mdn,m_MarriageAge_mdn,w_MarriageAge_mdn,ChldBorn_avg,koshi5_pcnt,koshi65_pcnt,AcadmCert_pcnt,WrkY_pcnt,Empl_pcnt,SelfEmpl_pcnt,HrsWrkWk_avg,Wrk_15_17_pcnt,WrkOutLoc_pcnt,employeesAnnual_medWage,EmployeesWage_decile9Up,SelfEmployedAnnual_medWage,SelfEmployedWage_decile9Up,hh_total_approx,size_avg,hh0_5_pcnt,hh18_24_pcnt,hh_MidatDatiyut,hh_MidatDatiyut_Name,Computer_avg,Vehicle0_pcnt,Vehicle2up_pcnt,Parking_pcnt,own_pcnt,rent_pcnt
אבני חפץ,3793,,,2210,70.5,7371.2,1,יהודים,116.3,,0.1,48,50.1,1.8,994,21,20,22,50.9,87.5,91.1,8.9,41.4,11.1,65.7,6.9,9,12.3,6.1,ישראל,23,24,22,2.5,2.5,,26.2,81.1,91.4,8.6,36.7,17,74,102400,14.6,85200,29.1,560,3.9,42.8,32.6,דתי/ דתי מאוד,3,1.7,2.1,45.3,66.4,59.6,32.3
אבנת,3786,,,240,474.5,4825.5,1,יהודים,139.2,,,65.5,34.5,,1896.7,14,14,14,80.4,100,96.2,3.8,40.7,10.4,72.9,0.4,5.3,10.6,10.8,ישראל,23,24,22,3,0.6,,63.7,86.9,78.8,21.2,36,18.8,60.3,111900,12.8,61200,6.1,40,5.3,76.1,3.9,דתי/ דתי מאוד,3,2.2,4.7,57.8,76,53.6,46.4
אבשלום,1311,,,360,156.1,2989.8,1,יהודים,113.1,,3.1,27.9,60.4,11.8,656.9,41,39,43,22.9,83.2,55.1,44.9,9.7,4.9,27,1.7,10.4,54.4,6.6,ישראל,25,25,24,2,11.2,44.6,18.6,72,92.5,7.5,42,22.4,78.2,117000,22.5,89100,,100,3.3,19.4,26,חילוני,1,1.6,9.1,43.2,91.7,81.6,15
אדורה,3759,,,490,90,4058.2,1,יהודים,119.9,,0.8,53,45.2,1.9,1214.3,16,15,18,46.2,89.3,92.2,7.8,13.3,8.2,65.6,4.8,11,9.9,8.6,ישראל,23,24,22,2.7,2,100,27.3,80.6,86.2,13.8,38.6,7.6,81.6,118300,21.5,29400,9.2,110,4.5,43.2,19.9,מסורתי,2,1.7,15.8,62.7,68.8,86.1,5
אדירים,113,,,360,31,1153.2,1,יהודים,126,,14.5,32.4,58.3,9.3,714.8,31,32,30,33,89.9,88.1,11.9,,,55,3.2,38.7,3.1,,ישראל,25,27,23,3.4,14,67.3,9.9,75.2,87.5,12.5,38.1,11.1,62.8,83700,4.8,31700,,110,2.8,19.7,24,דתי/ דתי מאוד,3,1,15.9,31.2,89.5,54.1,24.7
אדמית,1068,,,400,141.3,2828.5,1,יהודים,113.5,,2,35.7,47.8,16.6,1092.8,38,38,38,9.3,68.1,71,29,10.4,4,37.7,3.4,9,35.1,14.8,ישראל,25,26,25,1.7,4.1,15.4,37.9,78,77.2,22.8,36.7,41,74.7,119500,30.4,83900,12.5,200,2.1,10.5,37.2,חילוני,1,1.8,9.2,44.6,75.9,79.4,13.8
אדרת,1123,,,1080,77.3,4155.3,1,יהודים,103.7,,0.4,40.9,51.4,7.7,945.2,26,24,29,37.7,89.6,83.6,16.4,17.6,11.7,48.7,2.8,28.6,9.2,10.7,ישראל,24,25,23,2.8,6.1,35.8,25.2,73.4,82.9,17.1,37.1,18.5,81.1,125500,17.7,137200,33.1,280,3.8,24.5,30.1,דתי/ דתי מאוד,3,1.7,8.4,50.3,89.5,66.8,19.8
אודים,446,,,1230,-1,2078.9,1,יהודים,97.5,,10.5,26.6,61.3,12,630.3,35,36,33,22.6,68.7,86,14,21.7,11.5,58.8,5.3,7.7,21.7,6.5,ישראל,26,27,24,1.7,4.4,29.1,41.1,74.2,77.8,22.2,39.5,11.7,78.5,145600,35.9,109200,28.7,400,2.7,22.6,20.6,חילוני,1,1.9,4.3,50.7,85.8,42.7,45
אודם,4010,,,260,200.3,2373.8,1,יהודים,104.9,,,39.8,50.8,9.4,967.1,29,33,28,47.6,78.5,90.1,9.9,28.9,24.8,57.6,9.5,9.5,16.2,7.3,ישראל,26,29,25,2.1,3.5,4.4,25.5,83.6,75.4,24.6,41.1,9.7,54.5,123100,13.3,99300,8.9,90,2.9,41.5,15.3,חילוני,1,1.5,7.3,52.1,72,49.8,37.6
אוהד,1046,,,650,22.7,1982.5,1,יהודים,207.1,,39.1,25.3,64.7,10,545.9,32,31,38,20,90.9,84.5,15.5,6.3,1.8,48.8,13.3,20.9,12.8,4.2,ישראל,24,26,23,2.4,8.8,49.3,20.2,66.1,84.2,15.8,38.9,20.1,83.8,112100,26.6,191200,45.2,130,3.1,10.3,16.5,חילוני,1,1.6,,51.4,93.4,67.1,21.9
אום אל-פחם,2710,,,57560,27.8,6110.4,2,מוסלמים,101.5,0.1,0.1,40.1,54.7,5.2,828.6,25,24,25,44,88.9,,,,,,,,,,,24,26,22,2.6,12.2,60.8,12.4,55.4,88.5,11.1,35.2,6.5,44.1,63900,7.6,76400,10.7,15710,3.7,30,34.5,מסורתי,2,0.9,24.1,30.9,68.8,76,7.8
